year,severity,age,sex,p_exacerbations
2001,3,95,F,0.0
2001,3,95,M,0.0
2001,3,96,F,0.0
2001,3,96,M,0.0
2001,3,97,F,0.0
2001,3,97,M,0.0
2001,3,98,F,0.0
2001,3,98,M,0.0
2001,3,99,F,0.0
2001,3,99,M,0.0
2001,3,100,F,0.0
2001,3,100,M,0.0
2001,3,101,F,0.0
2001,3,101,M,0.0
2001,3,102,F,0.0
2001,3,102,M,0.0
2001,3,103,F,0.0
2001,3,103,M,0.0
2001,3,104,F,0.0
2001,3,104,M,0.0
2001,3,105,F,0.0
2001,3,105,M,0.0
2001,3,106,F,0.0
2001,3,106,M,0.0
2001,3,107,F,0.0
2001,3,107,M,0.0
2001,3,108,F,0.0
2001,3,108,M,0.0
2001,3,109,F,0.0
2001,3,109,M,0.0
2001,3,110,F,0.0
2001,3,110,M,0.0
2002,0,0,F,0.0
2002,0,0,M,0.0
2002,0,1,F,0.0
2002,0,1,M,0.0
2002,0,2,F,0.0
2002,0,2,M,0.0
2002,0,3,F,248.0
2002,0,3,M,341.0
2002,0,4,F,191.0
2002,0,4,M,290.0
2002,0,5,F,146.0
2002,0,5,M,308.0
2002,0,6,F,134.0
2002,0,6,M,249.0
2002,0,7,F,110.0
2002,0,7,M,157.0
2002,0,8,F,97.0
2002,0,8,M,123.0
2002,0,9,F,64.0
2002,0,9,M,104.0
2002,0,10,F,70.0
2002,0,10,M,127.0
2002,0,11,F,62.0
2002,0,11,M,141.0
2002,0,12,F,77.0
2002,0,12,M,96.0
2002,0,13,F,87.0
2002,0,13,M,109.0
2002,0,14,F,72.0
2002,0,14,M,98.0
2002,0,15,F,79.0
2002,0,15,M,72.0
2002,0,16,F,78.0
2002,0,16,M,93.0
2002,0,17,F,83.0
2002,0,17,M,84.0
2002,0,18,F,69.0
2002,0,18,M,47.0
2002,0,19,F,73.0
2002,0,19,M,39.0
2002,0,20,F,89.0
2002,0,20,M,59.0
2002,0,21,F,80.0
2002,0,21,M,48.0
2002,0,22,F,91.0
2002,0,22,M,76.0
2002,0,23,F,73.0
2002,0,23,M,73.0
2002,0,24,F,83.0
2002,0,24,M,35.0
2002,0,25,F,85.0
2002,0,25,M,66.0
2002,0,26,F,71.0
2002,0,26,M,66.0
2002,0,27,F,65.0
2002,0,27,M,38.0
2002,0,28,F,89.0
2002,0,28,M,50.0
2002,0,29,F,63.0
2002,0,29,M,42.0
2002,0,30,F,96.0
2002,0,30,M,42.0
2002,0,31,F,64.0
2002,0,31,M,29.0
2002,0,32,F,73.0
2002,0,32,M,35.0
2002,0,33,F,49.0
2002,0,33,M,38.0
2002,0,34,F,78.0
2002,0,34,M,18.0
2002,0,35,F,44.0
2002,0,35,M,31.0
2002,0,36,F,42.0
2002,0,36,M,23.0
2002,0,37,F,70.0
2002,0,37,M,33.0
2002,0,38,F,84.0
2002,0,38,M,40.0
2002,0,39,F,96.0
2002,0,39,M,42.0
2002,0,40,F,57.0
2002,0,40,M,19.0
2002,0,41,F,72.0
2002,0,41,M,29.0
2002,0,42,F,58.0
2002,0,42,M,17.0
2002,0,43,F,68.0
2002,0,43,M,16.0
2002,0,44,F,45.0
2002,0,44,M,22.0
2002,0,45,F,59.0
2002,0,45,M,27.0
2002,0,46,F,72.0
2002,0,46,M,16.0
2002,0,47,F,72.0
2002,0,47,M,28.0
2002,0,48,F,79.0
2002,0,48,M,16.0
2002,0,49,F,61.0
2002,0,49,M,22.0
2002,0,50,F,65.0
2002,0,50,M,24.0
2002,0,51,F,65.0
2002,0,51,M,12.0
2002,0,52,F,86.0
2002,0,52,M,22.0
2002,0,53,F,61.0
2002,0,53,M,18.0
2002,0,54,F,57.0
2002,0,54,M,28.0
2002,0,55,F,67.0
2002,0,55,M,22.0
2002,0,56,F,55.0
2002,0,56,M,18.0
2002,0,57,F,33.0
2002,0,57,M,20.0
2002,0,58,F,80.0
2002,0,58,M,24.0
2002,0,59,F,73.0
2002,0,59,M,25.0
2002,0,60,F,67.0
2002,0,60,M,20.0
2002,0,61,F,57.0
2002,0,61,M,27.0
2002,0,62,F,67.0
2002,0,62,M,21.0
2002,0,63,F,51.0
2002,0,63,M,20.0
2002,0,64,F,34.0
2002,0,64,M,10.0
2002,0,65,F,37.0
2002,0,65,M,15.0
2002,0,66,F,46.0
2002,0,66,M,16.0
2002,0,67,F,42.0
2002,0,67,M,19.0
2002,0,68,F,48.0
2002,0,68,M,12.0
2002,0,69,F,33.0
2002,0,69,M,20.0
2002,0,70,F,52.0
2002,0,70,M,14.0
2002,0,71,F,53.0
2002,0,71,M,19.0
2002,0,72,F,45.0
2002,0,72,M,26.0
2002,0,73,F,44.0
2002,0,73,M,13.0
2002,0,74,F,49.0
2002,0,74,M,20.0
2002,0,75,F,45.0
2002,0,75,M,13.0
2002,0,76,F,35.0
2002,0,76,M,20.0
2002,0,77,F,40.0
2002,0,77,M,11.0
2002,0,78,F,41.0
2002,0,78,M,13.0
2002,0,79,F,57.0
2002,0,79,M,22.0
2002,0,80,F,49.0
2002,0,80,M,18.0
