year,age,sex,n_asthma
2004,95,M,3
2004,96,F,14
2004,96,M,4
2004,97,F,7
2004,97,M,3
2004,98,F,8
2004,98,M,0
2004,99,F,4
2004,99,M,0
2004,100,F,9
2004,100,M,0
2004,101,F,8
2004,101,M,0
2004,102,F,4
2004,102,M,0
2004,103,F,0
2004,103,M,0
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,0
2005,0,M,0
2005,1,F,0
2005,1,M,0
2005,2,F,0
2005,2,M,0
2005,3,F,244
2005,3,M,326
2005,4,F,305
2005,4,M,510
2005,5,F,385
2005,5,M,649
2005,6,F,472
2005,6,M,701
2005,7,F,519
2005,7,M,796
2005,8,F,578
2005,8,M,965
2005,9,F,655
2005,9,M,914
2005,10,F,684
2005,10,M,891
2005,11,F,697
2005,11,M,969
2005,12,F,767
2005,12,M,969
2005,13,F,871
2005,13,M,1076
2005,14,F,865
2005,14,M,1146
2005,15,F,931
2005,15,M,1228
2005,16,F,886
2005,16,M,1291
2005,17,F,891
2005,17,M,1254
2005,18,F,908
2005,18,M,1238
2005,19,F,955
2005,19,M,1301
2005,20,F,959
2005,20,M,1316
2005,21,F,941
2005,21,M,1296
2005,22,F,958
2005,22,M,1282
2005,23,F,969
2005,23,M,1202
2005,24,F,941
2005,24,M,1110
2005,25,F,911
2005,25,M,1062
2005,26,F,845
2005,26,M,955
2005,27,F,852
2005,27,M,874
2005,28,F,817
2005,28,M,785
2005,29,F,752
2005,29,M,784
2005,30,F,717
2005,30,M,680
2005,31,F,745
2005,31,M,645
2005,32,F,671
2005,32,M,585
2005,33,F,723
2005,33,M,570
2005,34,F,702
2005,34,M,543
2005,35,F,715
2005,35,M,548
2005,36,F,673
2005,36,M,471
2005,37,F,663
2005,37,M,440
2005,38,F,632
2005,38,M,429
2005,39,F,691
2005,39,M,440
2005,40,F,725
2005,40,M,482
2005,41,F,772
2005,41,M,424
2005,42,F,765
2005,42,M,472
2005,43,F,694
2005,43,M,420
2005,44,F,743
2005,44,M,407
2005,45,F,674
2005,45,M,408
2005,46,F,688
2005,46,M,385
2005,47,F,676
2005,47,M,353
2005,48,F,650
2005,48,M,334
2005,49,F,653
2005,49,M,342
2005,50,F,611
2005,50,M,357
2005,51,F,639
2005,51,M,324
2005,52,F,568
2005,52,M,296
2005,53,F,582
2005,53,M,315
2005,54,F,540
2005,54,M,306
2005,55,F,526
2005,55,M,339
2005,56,F,544
2005,56,M,298
2005,57,F,510
2005,57,M,336
2005,58,F,567
2005,58,M,330
2005,59,F,481
2005,59,M,283
2005,60,F,440
2005,60,M,295
2005,61,F,451
2005,61,M,306
2005,62,F,467
2005,62,M,339
2005,63,F,433
2005,63,M,290
2005,64,F,447
2005,64,M,275
2005,65,F,407
2005,65,M,231
2005,66,F,354
2005,66,M,220
2005,67,F,323
2005,67,M,182
2005,68,F,308
2005,68,M,168
2005,69,F,316
2005,69,M,179
2005,70,F,301
2005,70,M,164
2005,71,F,307
2005,71,M,176
2005,72,F,303
2005,72,M,181
2005,73,F,297
2005,73,M,190
2005,74,F,283
2005,74,M,166
2005,75,F,294
2005,75,M,159
2005,76,F,265
2005,76,M,140
2005,77,F,249
2005,77,M,132
2005,78,F,265
2005,78,M,105
2005,79,F,257
2005,79,M,115
2005,80,F,213
2005,80,M,97
2005,81,F,209
2005,81,M,88
2005,82,F,233
2005,82,M,93
2005,83,F,195
2005,83,M,62
2005,84,F,196
2005,84,M,65
2005,85,F,181
2005,85,M,49
2005,86,F,142
2005,86,M,34
2005,87,F,120
2005,87,M,32
2005,88,F,101
2005,88,M,31
2005,89,F,82
2005,89,M,30
2005,90,F,77
2005,90,M,23
2005,91,F,52
2005,91,M,11
2005,92,F,43
2005,92,M,16
2005,93,F,36
2005,93,M,10
2005,94,F,30
2005,94,M,8
2005,95,F,21
2005,95,M,9
2005,96,F,12
2005,96,M,3
2005,97,F,10
2005,97,M,4
2005,98,F,5
2005,98,M,4
2005,99,F,7
2005,99,M,0
2005,100,F,11
2005,100,M,1
2005,101,F,4
2005,101,M,0
2005,102,F,9
2005,102,M,0
2005,103,F,5
2005,103,M,0
2005,104,F,0
2005,104,M,0
2005,105,F,0
2005,105,M,0
2005,106,F,0
2005,106,M,0
2005,107,F,0
2005,107,M,0
2005,108,F,0
2005,108,M,0
2005,109,F,0
2005,109,M,0
2005,110,F,0
2005,110,M,0
2006,0,F,0
2006,0,M,0
2006,1,F,0
2006,1,M,0
2006,2,F,0
2006,2,M,0
2006,3,F,211
2006,3,M,386
2006,4,F,334
2006,4,M,497
2006,5,F,375
2006,5,M,656
2006,6,F,458
2006,6,M,779
2006,7,F,525
2006,7,M,790
2006,8,F,566
2006,8,M,883
2006,9,F,638
2006,9,M,1022
2006,10,F,703
2006,10,M,970
2006,11,F,730
2006,11,M,942
2006,12,F,750
2006,12,M,991
2006,13,F,807
2006,13,M,988
2006,14,F,905
2006,14,M,1084
2006,15,F,898
2006,15,M,1130
2006,16,F,948
2006,16,M,1243
2006,17,F,913
2006,17,M,1293
2006,18,F,909
2006,18,M,1261
2006,19,F,942
2006,19,M,1236
2006,20,F,961
2006,20,M,1290
2006,21,F,969
2006,21,M,1308
2006,22,F,956
2006,22,M,1278
2006,23,F,959
2006,23,M,1283
2006,24,F,993
2006,24,M,1200
2006,25,F,953
2006,25,M,1116
2006,26,F,912
2006,26,M,1059
2006,27,F,864
2006,27,M,971
2006,28,F,887
2006,28,M,884
2006,29,F,846
2006,29,M,801
2006,30,F,790
2006,30,M,792
2006,31,F,739
2006,31,M,697
2006,32,F,774
2006,32,M,653
2006,33,F,706
2006,33,M,602
2006,34,F,748
2006,34,M,581
2006,35,F,740
2006,35,M,562
2006,36,F,743
2006,36,M,579
2006,37,F,708
2006,37,M,493
2006,38,F,697
2006,38,M,465
2006,39,F,658
2006,39,M,453
2006,40,F,725
2006,40,M,465
2006,41,F,772
2006,41,M,509
2006,42,F,810
2006,42,M,448
2006,43,F,805
2006,43,M,495
2006,44,F,745
2006,44,M,445
2006,45,F,782
2006,45,M,428
2006,46,F,699
2006,46,M,434
2006,47,F,724
2006,47,M,407
2006,48,F,712
2006,48,M,382
2006,49,F,679
2006,49,M,354
2006,50,F,700
2006,50,M,367
2006,51,F,657
2006,51,M,387
2006,52,F,664
2006,52,M,348
2006,53,F,615
2006,53,M,314
2006,54,F,608
2006,54,M,336
2006,55,F,580
2006,55,M,323
2006,56,F,553
2006,56,M,356
2006,57,F,580
2006,57,M,314
2006,58,F,537
2006,58,M,355
2006,59,F,591
2006,59,M,348
2006,60,F,506
2006,60,M,310
2006,61,F,472
2006,61,M,321
2006,62,F,481
2006,62,M,326
2006,63,F,481
2006,63,M,341
2006,64,F,451
2006,64,M,313
2006,65,F,446
2006,65,M,268
2006,66,F,421
2006,66,M,237
2006,67,F,379
2006,67,M,218
2006,68,F,336
2006,68,M,195
2006,69,F,328
2006,69,M,172
2006,70,F,335
2006,70,M,180
2006,71,F,317
2006,71,M,178
2006,72,F,325
2006,72,M,176
2006,73,F,309
2006,73,M,181
2006,74,F,302
2006,74,M,183
2006,75,F,291
2006,75,M,168
2006,76,F,294
2006,76,M,157
2006,77,F,274
2006,77,M,136
2006,78,F,262
2006,78,M,136
2006,79,F,267
2006,79,M,100
2006,80,F,264
2006,80,M,117
2006,81,F,209
2006,81,M,93
2006,82,F,214
2006,82,M,87
2006,83,F,232
2006,83,M,93
2006,84,F,195
2006,84,M,63
2006,85,F,188
2006,85,M,57
2006,86,F,177
2006,86,M,44
2006,87,F,137
2006,87,M,32
2006,88,F,115
2006,88,M,31
2006,89,F,87
2006,89,M,24
2006,90,F,84
2006,90,M,24
2006,91,F,71
2006,91,M,16
2006,92,F,47
2006,92,M,11
2006,93,F,36
2006,93,M,15
2006,94,F,30
2006,94,M,6
2006,95,F,29
2006,95,M,5
2006,96,F,17
2006,96,M,9
2006,97,F,12
2006,97,M,0
2006,98,F,7
2006,98,M,2
2006,99,F,6
2006,99,M,1
2006,100,F,9
2006,100,M,0
2006,101,F,7
2006,101,M,1
2006,102,F,4
2006,102,M,0
2006,103,F,7
2006,103,M,0
2006,104,F,2
2006,104,M,0
2006,105,F,0
2006,105,M,0
2006,106,F,0
2006,106,M,0
2006,107,F,0
2006,107,M,0
2006,108,F,0
2006,108,M,0
2006,109,F,0
2006,109,M,0
2006,110,F,0
2006,110,M,0
2007,0,F,0
2007,0,M,0
2007,1,F,0
2007,1,M,0
2007,2,F,0
2007,2,M,0
2007,3,F,258
2007,3,M,424
2007,4,F,282
2007,4,M,501
2007,5,F,399
2007,5,M,656
2007,6,F,443
2007,6,M,766
2007,7,F,530
2007,7,M,874
2007,8,F,590
2007,8,M,865
2007,9,F,636
2007,9,M,933
2007,10,F,696
2007,10,M,1060
2007,11,F,745
2007,11,M,1031
2007,12,F,771
2007,12,M,983
2007,13,F,785
2007,13,M,1027
2007,14,F,840
2007,14,M,1004
2007,15,F,928
2007,15,M,1080
2007,16,F,915
2007,16,M,1136
2007,17,F,959
2007,17,M,1235
2007,18,F,928
2007,18,M,1281
2007,19,F,946
2007,19,M,1243
2007,20,F,962
2007,20,M,1237
2007,21,F,979
2007,21,M,1295
2007,22,F,985
2007,22,M,1292
2007,23,F,952
2007,23,M,1280
2007,24,F,972
2007,24,M,1283
2007,25,F,1005
2007,25,M,1193
2007,26,F,969
2007,26,M,1120
2007,27,F,930
2007,27,M,1058
2007,28,F,880
2007,28,M,978
