year,age,sex,cost
2002,99,F,8479.589469977154
2002,99,M,0.0
2002,100,F,29187.88496550726
2002,100,M,0.0
2002,101,F,4781.857465521124
2002,101,M,4015.1075026178255
2002,102,F,0.0
2002,102,M,0.0
2002,103,F,0.0
2002,103,M,0.0
2002,104,F,0.0
2002,104,M,0.0
2002,105,F,0.0
2002,105,M,0.0
2002,106,F,0.0
2002,106,M,0.0
2002,107,F,0.0
2002,107,M,0.0
2002,108,F,0.0
2002,108,M,0.0
2002,109,F,0.0
2002,109,M,0.0
2002,110,F,0.0
2002,110,M,0.0
2003,0,F,0.0
2003,0,M,0.0
2003,1,F,0.0
2003,1,M,0.0
2003,2,F,0.0
2003,2,M,0.0
2003,3,F,2244180.5919290925
2003,3,M,2635265.693701834
2003,4,F,2528122.0019549425
2003,4,M,3697293.40203775
2003,5,F,2926016.2151782275
2003,5,M,4390585.229495611
2003,6,F,3197293.9308143533
2003,6,M,5700161.547073097
2003,7,F,3523455.744641245
2003,7,M,5432359.133777283
2003,8,F,3605280.847019065
2003,8,M,5251136.074932668
2003,9,F,4002305.90107472
2003,9,M,5592644.416653474
2003,10,F,4174864.330478119
2003,10,M,5727115.269761437
2003,11,F,4566678.877271246
2003,11,M,6193439.711448097
2003,12,F,4897097.483162271
2003,12,M,6703032.658251767
2003,13,F,5098529.695587693
2003,13,M,7182233.820063284
2003,14,F,5050977.387549071
2003,14,M,7389458.284474159
2003,15,F,5030891.5062679425
2003,15,M,6902000.613319435
2003,16,F,5022225.635204692
2003,16,M,7043352.782014796
2003,17,F,5498777.835784147
2003,17,M,7094782.157962625
2003,18,F,5467660.724726768
2003,18,M,7221730.792762716
2003,19,F,5349499.66611295
2003,19,M,7142819.271290953
2003,20,F,5342764.488119962
2003,20,M,7080705.303374352
2003,21,F,5645895.586375427
2003,21,M,6423786.91676109
2003,22,F,5553251.797756107
2003,22,M,5905782.593261354
2003,23,F,5233755.300564687
2003,23,M,5877320.915815914
2003,24,F,4970963.223052123
2003,24,M,5274092.864649113
2003,25,F,5270452.384187245
2003,25,M,4799929.310788428
2003,26,F,4774533.948789472
2003,26,M,4403851.293327017
2003,27,F,4340001.948201157
2003,27,M,4361626.0210071355
2003,28,F,4225369.319617638
2003,28,M,3778508.278366233
2003,29,F,4132235.741173564
2003,29,M,3649987.4884348135
2003,30,F,3852134.683696259
2003,30,M,3173839.771474599
2003,31,F,4133308.061513924
2003,31,M,3197079.7762134294
2003,32,F,3969888.166778497
2003,32,M,2919564.794271068
2003,33,F,4026734.340127593
2003,33,M,2877203.4586016564
2003,34,F,3692388.7995970766
2003,34,M,2416484.4071919722
2003,35,F,3750462.1088070613
2003,35,M,2461252.8771694093
2003,36,F,3568060.79551594
2003,36,M,2206639.392736157
2003,37,F,3802540.7255737563
2003,37,M,2317061.6661718334
2003,38,F,4070254.4501023376
2003,38,M,2484411.534445365
2003,39,F,4233275.241378463
2003,39,M,2275634.2208647844
2003,40,F,4252869.165240431
2003,40,M,2531722.9407239337
2003,41,F,3840557.3170425682
2003,41,M,2175912.4430218344
2003,42,F,4098078.4800453433
2003,42,M,2082709.3466099987
2003,43,F,3540729.3127122284
2003,43,M,2045816.364912574
2003,44,F,3750023.3315273267
2003,44,M,1994488.5543044258
2003,45,F,3643354.119832998
2003,45,M,1851214.3809342554
2003,46,F,3614831.9910627757
2003,46,M,1742731.489241647
2003,47,F,3585529.979463062
2003,47,M,1705210.1186837063
2003,48,F,3634289.9788855
2003,48,M,1889095.8732373044
2003,49,F,3627893.041926576
2003,49,M,1651519.7370884477
2003,50,F,3201690.758878824
2003,50,M,1498306.8172426906
2003,51,F,3338199.893648041
2003,51,M,1786708.1573714628
2003,52,F,3202865.387717089
2003,52,M,1564188.722210342
2003,53,F,3091132.0277465433
2003,53,M,1868077.764854751
2003,54,F,3024457.1691277074
2003,54,M,1660865.3909389398
2003,55,F,3049183.386266779
2003,55,M,1764134.5501063499
2003,56,F,3338234.232055119
2003,56,M,1738488.1445122433
2003,57,F,2615824.712910439
2003,57,M,1554228.2416591526
2003,58,F,2336103.049806779
2003,58,M,1594111.4832247978
2003,59,F,2708816.780328172
2003,59,M,1614808.0552937447
2003,60,F,2526245.63431899
2003,60,M,1734444.660819073
2003,61,F,2589104.175733118
2003,61,M,1483805.1172438147
2003,62,F,2805614.205138486
2003,62,M,1597313.288411516
2003,63,F,2435125.3834921676
2003,63,M,1359240.2337456706
2003,64,F,2266915.565111258
2003,64,M,1467831.9623961847
2003,65,F,2023627.478087321
2003,65,M,1161283.6927746397
2003,66,F,2023193.841582079
2003,66,M,839217.63345945
2003,67,F,1910475.3089587959
2003,67,M,1077020.5239944325
2003,68,F,1848861.4107607864
2003,68,M,924226.9904353649
2003,69,F,1961001.6410876827
2003,69,M,1022048.5071205901
2003,70,F,1798601.2851078047
2003,70,M,1064779.2050518133
2003,71,F,1849559.6585310095
2003,71,M,1088790.0216297114
2003,72,F,1833888.1444005605
2003,72,M,1115447.3091278921
2003,73,F,1907559.312016433
2003,73,M,902185.7009061316
2003,74,F,1648777.5438140393
2003,74,M,976179.636701932
2003,75,F,1566197.1097255
2003,75,M,892846.3559874111
2003,76,F,1754984.4873426051
2003,76,M,637112.3879216887
2003,77,F,1629722.6977133746
2003,77,M,667740.8382478898
2003,78,F,1500278.8580881546
2003,78,M,619196.9927222457
2003,79,F,1450132.2122732028
2003,79,M,576400.576279328
2003,80,F,1682884.4116171952
2003,80,M,745212.205883469
2003,81,F,1399026.2176757075
2003,81,M,459048.29212706146
2003,82,F,1285380.042509113
2003,82,M,457291.1353660457
2003,83,F,1277476.1892421413
2003,83,M,332983.4830296465
2003,84,F,1073148.7723138102
2003,84,M,292664.885233417
2003,85,F,932371.3604538274
2003,85,M,308256.2258532211
2003,86,F,775790.568394352
2003,86,M,244161.94558711053
2003,87,F,646521.4560258223
2003,87,M,189835.94719298297
2003,88,F,623414.8243939667
2003,88,M,200592.9407052677
2003,89,F,458350.7026161551
2003,89,M,89566.63450001637
2003,90,F,424080.1172201265
2003,90,M,140246.71988218822
2003,91,F,283776.65170105046
2003,91,M,101374.34254380703
2003,92,F,273351.18921505567
2003,92,M,54781.953327260984
2003,93,F,193161.78688867632
2003,93,M,62573.37425794756
2003,94,F,162646.5631947551
2003,94,M,27652.094129249526
2003,95,F,72387.17033227353
2003,95,M,30183.19394080754
2003,96,F,73558.07586141408
2003,96,M,46333.456656217066
2003,97,F,75639.80829145582
2003,97,M,4392.455123289177
2003,98,F,37700.34021799371
2003,98,M,0.0
2003,99,F,8269.724389868468
2003,99,M,0.0
2003,100,F,35066.93906975852
2003,100,M,0.0
2003,101,F,24505.770698716966
2003,101,M,0.0
2003,102,F,4772.998811440552
2003,102,M,4226.215852168352
2003,103,F,0.0
2003,103,M,0.0
2003,104,F,0.0
2003,104,M,0.0
2003,105,F,0.0
2003,105,M,0.0
2003,106,F,0.0
2003,106,M,0.0
2003,107,F,0.0
2003,107,M,0.0
2003,108,F,0.0
2003,108,M,0.0
2003,109,F,0.0
2003,109,M,0.0
2003,110,F,0.0
2003,110,M,0.0
2004,0,F,0.0
2004,0,M,0.0
2004,1,F,0.0
2004,1,M,0.0
2004,2,F,0.0
2004,2,M,0.0
2004,3,F,1689191.8448571274
2004,3,M,2841448.407790426
2004,4,F,2661499.9764079237
2004,4,M,4156685.631029311
2004,5,F,3017978.257147984
2004,5,M,4718392.107728428
2004,6,F,3200640.261973673
2004,6,M,5122568.0201059105
2004,7,F,3537930.8841268024
2004,7,M,6369449.572079422
2004,8,F,4079181.9183990164
2004,8,M,5917826.836240873
2004,9,F,4142544.6853961633
2004,9,M,5656703.331642982
2004,10,F,4385492.96698019
2004,10,M,6155825.712994067
2004,11,F,4563679.644319852
2004,11,M,5980282.7461094
2004,12,F,4900990.2864236655
2004,12,M,6425971.119127147
2004,13,F,5011385.450401944
2004,13,M,6916560.406468615
2004,14,F,5425884.389168125
2004,14,M,7410211.592297475
2004,15,F,5176977.684996815
2004,15,M,7517959.948325333
2004,16,F,5288335.928973305
2004,16,M,7102488.020135299
2004,17,F,5290873.17212205
2004,17,M,7075617.346609967
