year,age,sex,n_exacerbations
2004,16,F,172
2004,16,M,91
2004,17,F,157
2004,17,M,71
2004,18,F,96
2004,18,M,73
2004,19,F,99
2004,19,M,57
2004,20,F,113
2004,20,M,124
2004,21,F,115
2004,21,M,109
2004,22,F,165
2004,22,M,113
2004,23,F,169
2004,23,M,120
2004,24,F,136
2004,24,M,82
2004,25,F,113
2004,25,M,94
2004,26,F,129
2004,26,M,90
2004,27,F,115
2004,27,M,104
2004,28,F,147
2004,28,M,93
2004,29,F,88
2004,29,M,109
2004,30,F,105
2004,30,M,49
2004,31,F,102
2004,31,M,93
2004,32,F,106
2004,32,M,79
2004,33,F,110
2004,33,M,99
2004,34,F,137
2004,34,M,48
2004,35,F,74
2004,35,M,35
2004,36,F,99
2004,36,M,47
2004,37,F,132
2004,37,M,33
2004,38,F,110
2004,38,M,71
2004,39,F,164
2004,39,M,58
2004,40,F,107
2004,40,M,38
2004,41,F,136
2004,41,M,58
2004,42,F,166
2004,42,M,80
2004,43,F,144
2004,43,M,56
2004,44,F,106
2004,44,M,37
2004,45,F,97
2004,45,M,41
2004,46,F,146
2004,46,M,33
2004,47,F,101
2004,47,M,51
2004,48,F,141
2004,48,M,33
2004,49,F,132
2004,49,M,62
2004,50,F,92
2004,50,M,46
2004,51,F,102
2004,51,M,26
2004,52,F,142
2004,52,M,45
2004,53,F,113
2004,53,M,52
2004,54,F,90
2004,54,M,40
2004,55,F,154
2004,55,M,56
2004,56,F,154
2004,56,M,45
2004,57,F,118
2004,57,M,52
2004,58,F,86
2004,58,M,32
2004,59,F,106
2004,59,M,30
2004,60,F,115
2004,60,M,45
2004,61,F,105
2004,61,M,80
2004,62,F,90
2004,62,M,39
2004,63,F,129
2004,63,M,32
2004,64,F,96
2004,64,M,41
2004,65,F,78
2004,65,M,15
2004,66,F,76
2004,66,M,33
2004,67,F,82
2004,67,M,35
2004,68,F,71
2004,68,M,30
2004,69,F,73
2004,69,M,30
2004,70,F,66
2004,70,M,44
2004,71,F,98
2004,71,M,25
2004,72,F,87
2004,72,M,53
2004,73,F,76
2004,73,M,37
2004,74,F,102
2004,74,M,40
2004,75,F,67
2004,75,M,41
2004,76,F,78
2004,76,M,35
2004,77,F,79
2004,77,M,30
2004,78,F,92
2004,78,M,36
2004,79,F,74
2004,79,M,27
2004,80,F,60
2004,80,M,29
2004,81,F,87
2004,81,M,42
2004,82,F,70
2004,82,M,23
2004,83,F,81
2004,83,M,17
2004,84,F,78
2004,84,M,11
2004,85,F,66
2004,85,M,10
2004,86,F,42
2004,86,M,21
2004,87,F,60
2004,87,M,22
2004,88,F,35
2004,88,M,10
2004,89,F,34
2004,89,M,18
2004,90,F,22
2004,90,M,5
2004,91,F,26
2004,91,M,10
2004,92,F,23
2004,92,M,7
2004,93,F,11
2004,93,M,6
2004,94,F,11
2004,94,M,3
2004,95,F,9
2004,95,M,2
2004,96,F,2
2004,96,M,3
2004,97,F,3
2004,97,M,0
2004,98,F,5
2004,98,M,0
2004,99,F,2
2004,99,M,0
2004,100,F,2
2004,100,M,0
2004,101,F,5
2004,101,M,0
2004,102,F,2
2004,102,M,0
2004,103,F,0
2004,103,M,0
2004,104,F,0
