year,sex,age,fam_history,abx_exposure,n_asthma,n_no_asthma
2001,0,90,1,2,0,22
2001,0,90,1,3,0,5
2001,0,91,0,0,1,198
2001,0,91,0,1,2,135
2001,0,91,0,2,0,60
2001,0,91,0,3,0,18
2001,0,91,1,0,0,69
2001,0,91,1,1,0,53
2001,0,91,1,2,0,12
2001,0,91,1,3,0,5
2001,0,92,0,0,1,132
2001,0,92,0,1,0,114
2001,0,92,0,2,0,58
2001,0,92,0,3,0,14
2001,0,92,1,0,1,60
2001,0,92,1,1,0,35
2001,0,92,1,2,0,16
2001,0,92,1,3,0,1
2001,0,93,0,0,1,96
2001,0,93,0,1,0,101
2001,0,93,0,2,0,30
2001,0,93,0,3,0,9
2001,0,93,1,0,0,49
2001,0,93,1,1,0,26
2001,0,93,1,2,0,9
2001,0,93,1,3,0,5
2001,0,94,0,0,0,87
2001,0,94,0,1,1,54
2001,0,94,0,2,0,25
2001,0,94,0,3,0,7
2001,0,94,1,0,0,30
2001,0,94,1,1,1,29
2001,0,94,1,2,0,12
2001,0,94,1,3,0,4
2001,0,95,0,0,0,66
2001,0,95,0,1,0,52
2001,0,95,0,2,0,20
2001,0,95,0,3,0,7
2001,0,95,1,0,1,24
2001,0,95,1,1,0,17
2001,0,95,1,2,0,12
2001,0,95,1,3,0,3
2001,0,96,0,0,0,41
2001,0,96,0,1,0,29
2001,0,96,0,2,0,13
2001,0,96,0,3,0,6
2001,0,96,1,0,0,17
2001,0,96,1,1,0,18
2001,0,96,1,2,0,7
2001,0,96,1,3,0,2
2001,0,97,0,0,0,30
2001,0,97,0,1,0,29
2001,0,97,0,2,0,14
2001,0,97,0,3,0,3
2001,0,97,1,0,0,17
2001,0,97,1,1,0,9
2001,0,97,1,2,0,2
2001,0,97,1,3,0,6
2001,0,98,0,0,0,26
2001,0,98,0,1,2,16
2001,0,98,0,2,0,7
2001,0,98,0,3,0,2
2001,0,98,1,0,0,6
2001,0,98,1,1,0,8
2001,0,98,1,2,0,5
2001,0,98,1,3,0,2
2001,0,99,0,0,0,21
2001,0,99,0,1,0,16
2001,0,99,0,2,0,1
2001,0,99,0,3,0,2
2001,0,99,1,0,0,8
2001,0,99,1,1,0,6
2001,0,99,1,2,0,0
2001,0,99,1,3,0,0
2001,0,100,0,0,0,35
2001,0,100,0,1,0,24
2001,0,100,0,2,0,6
2001,0,100,0,3,0,1
2001,0,100,1,0,0,11
2001,0,100,1,1,0,12
2001,0,100,1,2,0,2
2001,0,100,1,3,0,0
2001,0,101,0,0,0,0
2001,0,101,0,1,0,0
2001,0,101,0,2,0,0
2001,0,101,0,3,0,0
2001,0,101,1,0,0,0
2001,0,101,1,1,0,0
2001,0,101,1,2,0,0
2001,0,101,1,3,0,0
2001,0,102,0,0,0,0
2001,0,102,0,1,0,0
2001,0,102,0,2,0,0
2001,0,102,0,3,0,0
2001,0,102,1,0,0,0
2001,0,102,1,1,0,0
2001,0,102,1,2,0,0
2001,0,102,1,3,0,0
2001,0,103,0,0,0,0
2001,0,103,0,1,0,0
2001,0,103,0,2,0,0
2001,0,103,0,3,0,0
2001,0,103,1,0,0,0
2001,0,103,1,1,0,0
2001,0,103,1,2,0,0
2001,0,103,1,3,0,0
2001,0,104,0,0,0,0
2001,0,104,0,1,0,0
2001,0,104,0,2,0,0
2001,0,104,0,3,0,0
2001,0,104,1,0,0,0
2001,0,104,1,1,0,0
2001,0,104,1,2,0,0
2001,0,104,1,3,0,0
2001,0,105,0,0,0,0
2001,0,105,0,1,0,0
2001,0,105,0,2,0,0
2001,0,105,0,3,0,0
2001,0,105,1,0,0,0
2001,0,105,1,1,0,0
2001,0,105,1,2,0,0
2001,0,105,1,3,0,0
2001,0,106,0,0,0,0
2001,0,106,0,1,0,0
2001,0,106,0,2,0,0
2001,0,106,0,3,0,0
2001,0,106,1,0,0,0
2001,0,106,1,1,0,0
2001,0,106,1,2,0,0
2001,0,106,1,3,0,0
2001,0,107,0,0,0,0
2001,0,107,0,1,0,0
2001,0,107,0,2,0,0
2001,0,107,0,3,0,0
2001,0,107,1,0,0,0
2001,0,107,1,1,0,0
2001,0,107,1,2,0,0
2001,0,107,1,3,0,0
2001,0,108,0,0,0,0
2001,0,108,0,1,0,0
2001,0,108,0,2,0,0
2001,0,108,0,3,0,0
2001,0,108,1,0,0,0
2001,0,108,1,1,0,0
2001,0,108,1,2,0,0
2001,0,108,1,3,0,0
2001,0,109,0,0,0,0
2001,0,109,0,1,0,0
2001,0,109,0,2,0,0
2001,0,109,0,3,0,0
2001,0,109,1,0,0,0
2001,0,109,1,1,0,0
2001,0,109,1,2,0,0
2001,0,109,1,3,0,0
2001,0,110,0,0,0,0
2001,0,110,0,1,0,0
2001,0,110,0,2,0,0
2001,0,110,0,3,0,0
2001,0,110,1,0,0,0
2001,0,110,1,1,0,0
2001,0,110,1,2,0,0
2001,0,110,1,3,0,0
2001,0,111,0,0,0,0
2001,0,111,0,1,0,0
2001,0,111,0,2,0,0
2001,0,111,0,3,0,0
2001,0,111,1,0,0,0
2001,0,111,1,1,0,0
2001,0,111,1,2,0,0
2001,0,111,1,3,0,0
2001,1,0,0,0,0,1347
2001,1,0,0,1,0,1308
2001,1,0,0,2,0,666
2001,1,0,0,3,0,217
2001,1,0,1,0,0,568
2001,1,0,1,1,0,527
2001,1,0,1,2,0,271
2001,1,0,1,3,0,100
2001,1,1,0,0,0,1324
2001,1,1,0,1,0,1341
2001,1,1,0,2,0,725
2001,1,1,0,3,0,246
2001,1,1,1,0,0,572
2001,1,1,1,1,0,594
2001,1,1,1,2,0,326
2001,1,1,1,3,0,99
2001,1,2,0,0,0,1376
2001,1,2,0,1,0,1402
2001,1,2,0,2,0,763
