year,age,sex,n_alive
2004,31,M,6614
2004,32,F,6655
2004,32,M,6556
2004,33,F,6907
2004,33,M,6962
2004,34,F,6969
2004,34,M,6989
2004,35,F,6979
2004,35,M,6894
2004,36,F,6932
2004,36,M,6940
2004,37,F,6972
2004,37,M,7204
2004,38,F,7461
2004,38,M,7573
2004,39,F,8178
2004,39,M,8080
2004,40,F,8434
2004,40,M,8396
2004,41,F,8472
2004,41,M,8547
2004,42,F,8288
2004,42,M,8335
2004,43,F,8370
2004,43,M,8386
2004,44,F,8082
2004,44,M,8444
2004,45,F,8000
2004,45,M,8137
2004,46,F,8034
2004,46,M,7933
2004,47,F,7857
2004,47,M,7848
2004,48,F,7634
2004,48,M,7604
2004,49,F,7614
2004,49,M,7575
2004,50,F,7350
2004,50,M,7282
2004,51,F,7105
2004,51,M,6846
2004,52,F,6732
2004,52,M,6679
2004,53,F,6730
2004,53,M,6442
2004,54,F,6530
2004,54,M,6326
2004,55,F,6476
2004,55,M,6095
2004,56,F,6379
2004,56,M,6207
2004,57,F,6334
2004,57,M,6142
2004,58,F,5463
2004,58,M,5212
2004,59,F,5061
2004,59,M,4980
2004,60,F,4952
2004,60,M,4876
2004,61,F,4798
2004,61,M,4669
2004,62,F,4452
2004,62,M,4301
2004,63,F,4343
2004,63,M,4045
2004,64,F,4029
2004,64,M,3756
2004,65,F,3940
2004,65,M,3613
2004,66,F,3753
2004,66,M,3460
2004,67,F,3610
2004,67,M,3284
2004,68,F,3593
2004,68,M,3267
2004,69,F,3511
2004,69,M,3115
2004,70,F,3327
2004,70,M,2992
2004,71,F,3419
2004,71,M,2935
2004,72,F,3290
2004,72,M,2949
2004,73,F,3280
2004,73,M,2867
2004,74,F,3182
2004,74,M,2710
2004,75,F,3093
2004,75,M,2373
2004,76,F,2982
2004,76,M,2307
2004,77,F,2875
2004,77,M,2081
2004,78,F,2771
2004,78,M,1974
2004,79,F,2600
2004,79,M,1805
2004,80,F,2530
2004,80,M,1609
2004,81,F,2369
2004,81,M,1441
2004,82,F,2211
2004,82,M,1342
2004,83,F,2007
2004,83,M,1142
2004,84,F,1824
2004,84,M,953
2004,85,F,1479
2004,85,M,702
2004,86,F,1255
2004,86,M,589
2004,87,F,1106
2004,87,M,512
2004,88,F,1007
2004,88,M,408
2004,89,F,841
2004,89,M,339
2004,90,F,687
2004,90,M,294
2004,91,F,554
2004,91,M,206
2004,92,F,450
2004,92,M,137
2004,93,F,288
2004,93,M,116
2004,94,F,264
2004,94,M,78
2004,95,F,182
2004,95,M,49
2004,96,F,125
2004,96,M,32
2004,97,F,82
2004,97,M,20
2004,98,F,62
2004,98,M,12
2004,99,F,42
2004,99,M,6
2004,100,F,62
2004,100,M,13
2004,101,F,60
2004,101,M,13
2004,102,F,33
2004,102,M,2
2004,103,F,13
2004,103,M,1
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,5031
2005,0,M,5240
2005,1,F,5130
2005,1,M,5324
2005,2,F,5102
2005,2,M,5270
2005,3,F,5129
2005,3,M,5276
2005,4,F,5077
2005,4,M,5383
2005,5,F,5360
2005,5,M,5548
2005,6,F,5240
2005,6,M,5671
2005,7,F,5466
2005,7,M,5699
2005,8,F,5558
2005,8,M,6033
2005,9,F,5923
2005,9,M,6264
2005,10,F,6134
2005,10,M,6370
2005,11,F,6149
2005,11,M,6472
2005,12,F,6281
2005,12,M,6628
2005,13,F,6440
2005,13,M,6735
2005,14,F,6621
2005,14,M,6869
2005,15,F,6681
2005,15,M,7005
2005,16,F,6342
2005,16,M,6907
2005,17,F,6291
2005,17,M,6527
2005,18,F,6268
2005,18,M,6749
2005,19,F,6497
2005,19,M,6912
2005,20,F,6571
2005,20,M,7033
2005,21,F,6533
2005,21,M,7084
2005,22,F,6663
2005,22,M,6918
2005,23,F,6597
2005,23,M,6965
2005,24,F,6720
2005,24,M,6885
2005,25,F,6578
2005,25,M,6874
2005,26,F,6519
2005,26,M,6593
2005,27,F,6417
2005,27,M,6472
2005,28,F,6383
2005,28,M,6599
2005,29,F,6541
2005,29,M,6505
2005,30,F,6499
2005,30,M,6610
2005,31,F,6445
2005,31,M,6431
2005,32,F,6397
2005,32,M,6674
2005,33,F,6697
2005,33,M,6597
2005,34,F,6966
2005,34,M,7018
2005,35,F,7006
2005,35,M,7031
2005,36,F,7033
2005,36,M,6934
2005,37,F,6949
2005,37,M,6978
2005,38,F,7014
2005,38,M,7243
2005,39,F,7498
2005,39,M,7615
2005,40,F,8225
2005,40,M,8141
2005,41,F,8491
2005,41,M,8460
2005,42,F,8542
2005,42,M,8615
2005,43,F,8314
2005,43,M,8348
2005,44,F,8386
2005,44,M,8394
2005,45,F,8096
2005,45,M,8460
2005,46,F,8003
2005,46,M,8146
2005,47,F,8029
2005,47,M,7940
2005,48,F,7856
2005,48,M,7851
2005,49,F,7622
2005,49,M,7602
2005,50,F,7621
2005,50,M,7579
2005,51,F,7360
2005,51,M,7274
2005,52,F,7090
2005,52,M,6842
2005,53,F,6716
2005,53,M,6644
2005,54,F,6717
2005,54,M,6431
2005,55,F,6518
2005,55,M,6301
2005,56,F,6455
2005,56,M,6054
2005,57,F,6351
2005,57,M,6168
2005,58,F,6316
2005,58,M,6120
2005,59,F,5434
2005,59,M,5169
2005,60,F,5049
2005,60,M,4949
2005,61,F,4938
2005,61,M,4845
2005,62,F,4787
2005,62,M,4638
2005,63,F,4433
2005,63,M,4255
2005,64,F,4323
2005,64,M,4003
2005,65,F,3996
2005,65,M,3711
2005,66,F,3912
2005,66,M,3568
2005,67,F,3725
2005,67,M,3386
2005,68,F,3553
2005,68,M,3217
2005,69,F,3550
2005,69,M,3195
2005,70,F,3459
2005,70,M,3031
2005,71,F,3281
2005,71,M,2913
2005,72,F,3353
2005,72,M,2844
2005,73,F,3232
2005,73,M,2840
2005,74,F,3209
2005,74,M,2751
2005,75,F,3095
2005,75,M,2605
2005,76,F,2993
2005,76,M,2277
2005,77,F,2910
2005,77,M,2202
2005,78,F,2796
2005,78,M,1970
2005,79,F,2668
2005,79,M,1848
2005,80,F,2496
2005,80,M,1677
2005,81,F,2419
2005,81,M,1478
2005,82,F,2244
2005,82,M,1314
2005,83,F,2066
2005,83,M,1235
2005,84,F,1881
2005,84,M,1027
2005,85,F,1692
2005,85,M,861
2005,86,F,1327
2005,86,M,601
2005,87,F,1142
2005,87,M,527
2005,88,F,991
2005,88,M,426
2005,89,F,884
2005,89,M,356
2005,90,F,718
2005,90,M,279
2005,91,F,577
2005,91,M,234
2005,92,F,451
2005,92,M,181
2005,93,F,364
2005,93,M,113
2005,94,F,229
2005,94,M,91
2005,95,F,210
2005,95,M,57
2005,96,F,132
2005,96,M,34
2005,97,F,87
2005,97,M,21
2005,98,F,65
2005,98,M,9
2005,99,F,48
2005,99,M,8
2005,100,F,81
2005,100,M,11
2005,101,F,43
2005,101,M,7
2005,102,F,41
2005,102,M,9
2005,103,F,18
2005,103,M,1
2005,104,F,9
2005,104,M,0
2005,105,F,0
2005,105,M,0
2005,106,F,0
2005,106,M,0
2005,107,F,0
2005,107,M,0
2005,108,F,0
2005,108,M,0
2005,109,F,0
2005,109,M,0
2005,110,F,0
2005,110,M,0
2006,0,F,5087
2006,0,M,5355
2006,1,F,5131
2006,1,M,5365
2006,2,F,5192
2006,2,M,5401
2006,3,F,5153
2006,3,M,5366
2006,4,F,5182
2006,4,M,5358
2006,5,F,5144
2006,5,M,5458
2006,6,F,5383
2006,6,M,5577
2006,7,F,5287
2006,7,M,5731
2006,8,F,5484
2006,8,M,5750
2006,9,F,5607
2006,9,M,6079
2006,10,F,5947
2006,10,M,6304
2006,11,F,6173
2006,11,M,6429
2006,12,F,6225
2006,12,M,6516
2006,13,F,6335
2006,13,M,6680
2006,14,F,6501
2006,14,M,6802
2006,15,F,6700
2006,15,M,6930
2006,16,F,6736
2006,16,M,7067
2006,17,F,6468
2006,17,M,7022
2006,18,F,6405
2006,18,M,6660
2006,19,F,6402
2006,19,M,6872
2006,20,F,6589
2006,20,M,7001
2006,21,F,6670
2006,21,M,7102
2006,22,F,6588
2006,22,M,7150
2006,23,F,6734
2006,23,M,6964
2006,24,F,6650
2006,24,M,7007
2006,25,F,6789
2006,25,M,6902
2006,26,F,6645
2006,26,M,6865
2006,27,F,6587
2006,27,M,6622
2006,28,F,6512
2006,28,M,6507
2006,29,F,6462
2006,29,M,6633
2006,30,F,6637
2006,30,M,6554
2006,31,F,6549
2006,31,M,6649
2006,32,F,6491
2006,32,M,6502
2006,33,F,6461
2006,33,M,6720
2006,34,F,6755
2006,34,M,6660
2006,35,F,6978
2006,35,M,7045
2006,36,F,7050
2006,36,M,7059
2006,37,F,7067
2006,37,M,6988
2006,38,F,7003
2006,38,M,7021
2006,39,F,7080
2006,39,M,7303
2006,40,F,7535
2006,40,M,7671
2006,41,F,8250
2006,41,M,8166
2006,42,F,8513
2006,42,M,8477
2006,43,F,8548
2006,43,M,8626
2006,44,F,8356
2006,44,M,8393
2006,45,F,8386
2006,45,M,8388
2006,46,F,8096
2006,46,M,8452
2006,47,F,8026
2006,47,M,8152
2006,48,F,8034
2006,48,M,7941
2006,49,F,7851
2006,49,M,7862
2006,50,F,7646
2006,50,M,7621
2006,51,F,7611
2006,51,M,7568
2006,52,F,7355
2006,52,M,7275
2006,53,F,7109
2006,53,M,6835
2006,54,F,6716
2006,54,M,6634
2006,55,F,6700
2006,55,M,6415
2006,56,F,6512
2006,56,M,6288
2006,57,F,6460
2006,57,M,6037
2006,58,F,6330
2006,58,M,6129
2006,59,F,6221
2006,59,M,6008
2006,60,F,5480
2006,60,M,5193
2006,61,F,5066
2006,61,M,4939
2006,62,F,4932
2006,62,M,4826
2006,63,F,4758
2006,63,M,4580
2006,64,F,4423
2006,64,M,4223
2006,65,F,4294
2006,65,M,3950
2006,66,F,3969
2006,66,M,3654
2006,67,F,3891
2006,67,M,3514
2006,68,F,3686
2006,68,M,3323
2006,69,F,3528
2006,69,M,3155
2006,70,F,3497
2006,70,M,3113
2006,71,F,3410
2006,71,M,2967
2006,72,F,3233
2006,72,M,2832
2006,73,F,3277
2006,73,M,2760
2006,74,F,3158
2006,74,M,2749
2006,75,F,3137
2006,75,M,2645
2006,76,F,3017
2006,76,M,2504
2006,77,F,2913
2006,77,M,2181
2006,78,F,2813
2006,78,M,2091
2006,79,F,2699
2006,79,M,1875
2006,80,F,2562
2006,80,M,1749
2006,81,F,2398
2006,81,M,1567
2006,82,F,2286
2006,82,M,1368
2006,83,F,2127
2006,83,M,1214
2006,84,F,1944
2006,84,M,1112
2006,85,F,1752
2006,85,M,930
2006,86,F,1564
2006,86,M,764
2006,87,F,1220
2006,87,M,522
2006,88,F,1035
2006,88,M,451
2006,89,F,872
2006,89,M,377
2006,90,F,780
2006,90,M,289
2006,91,F,621
2006,91,M,228
2006,92,F,502
2006,92,M,186
2006,93,F,382
2006,93,M,132
2006,94,F,290
2006,94,M,82
2006,95,F,174
2006,95,M,67
2006,96,F,159
2006,96,M,44
2006,97,F,93
2006,97,M,21
2006,98,F,65
2006,98,M,14
2006,99,F,49
2006,99,M,8
2006,100,F,87
2006,100,M,13
2006,101,F,58
2006,101,M,7
2006,102,F,22
2006,102,M,1
2006,103,F,25
2006,103,M,4
2006,104,F,14
2006,104,M,0
2006,105,F,2
2006,105,M,0
2006,106,F,0
2006,106,M,0
2006,107,F,0
2006,107,M,0
2006,108,F,0
2006,108,M,0
2006,109,F,0
2006,109,M,0
2006,110,F,0
2006,110,M,0
2007,0,F,5389
2007,0,M,5513
2007,1,F,5167
2007,1,M,5434
2007,2,F,5177
2007,2,M,5397
2007,3,F,5239
2007,3,M,5444
2007,4,F,5194
2007,4,M,5392
2007,5,F,5216
2007,5,M,5388
2007,6,F,5188
2007,6,M,5502
2007,7,F,5422
2007,7,M,5633
2007,8,F,5332
2007,8,M,5781
2007,9,F,5563
2007,9,M,5829
2007,10,F,5658
2007,10,M,6147
2007,11,F,6028
2007,11,M,6404
2007,12,F,6233
2007,12,M,6502
2007,13,F,6281
2007,13,M,6590
2007,14,F,6385
2007,14,M,6745
2007,15,F,6546
2007,15,M,6842
2007,16,F,6743
2007,16,M,6961
2007,17,F,6807
2007,17,M,7105
2007,18,F,6532
2007,18,M,7046
2007,19,F,6541
2007,19,M,6751
2007,20,F,6525
2007,20,M,6930
2007,21,F,6688
2007,21,M,7034
2007,22,F,6747
2007,22,M,7129
2007,23,F,6660
2007,23,M,7180
2007,24,F,6804
2007,24,M,7014
2007,25,F,6734
2007,25,M,7034
2007,26,F,6881
2007,26,M,6946
2007,27,F,6744
2007,27,M,6919
2007,28,F,6668
2007,28,M,6667
2007,29,F,6608
2007,29,M,6562
2007,30,F,6548
2007,30,M,6688
2007,31,F,6718
2007,31,M,6613
2007,32,F,6649
2007,32,M,6719
2007,33,F,6556
2007,33,M,6558
2007,34,F,6527
2007,34,M,6770
2007,35,F,6820
2007,35,M,6701
2007,36,F,7043
2007,36,M,7100
2007,37,F,7117
2007,37,M,7093
2007,38,F,7135
2007,38,M,7003
2007,39,F,7043
2007,39,M,7042
2007,40,F,7099
2007,40,M,7309
2007,41,F,7544
2007,41,M,7678
2007,42,F,8271
2007,42,M,8173
2007,43,F,8516
2007,43,M,8474
2007,44,F,8561
2007,44,M,8622
2007,45,F,8361
2007,45,M,8401
2007,46,F,8417
