year,age,sex,n_antibiotic_exposure
2004,1,M,103
2004,2,F,61
2004,2,M,58
2004,3,F,31
2004,3,M,51
2004,4,F,34
2004,4,M,46
2004,5,F,19
2004,5,M,50
2004,6,F,26
2004,6,M,44
2004,7,F,18
2004,7,M,32
2004,8,F,49
2004,8,M,38
2004,9,F,53
2004,9,M,43
2004,10,F,49
2004,10,M,35
2004,11,F,38
2004,11,M,57
2004,12,F,59
2004,12,M,65
2004,13,F,34
2004,13,M,62
2004,14,F,48
2004,14,M,104
2004,15,F,63
2004,15,M,98
2004,16,F,51
2004,16,M,85
2004,17,F,65
2004,17,M,73
2004,18,F,44
2004,18,M,87
2004,19,F,85
2004,19,M,111
2004,20,F,83
2004,20,M,88
2004,21,F,83
2004,21,M,42
2004,22,F,43
2004,22,M,58
2004,23,F,51
2004,23,M,60
2004,24,F,62
2004,24,M,34
2004,25,F,54
2004,25,M,15
2004,26,F,55
2004,26,M,6
2004,27,F,73
2004,27,M,20
2004,28,F,63
2004,28,M,33
2004,29,F,77
2004,29,M,45
2004,30,F,46
2004,30,M,73
2004,31,F,46
2004,31,M,47
2004,32,F,41
2004,32,M,64
2004,33,F,42
2004,33,M,62
2004,34,F,57
2004,34,M,51
2004,35,F,41
2004,35,M,55
2004,36,F,45
2004,36,M,38
2004,37,F,43
2004,37,M,41
2004,38,F,32
2004,38,M,61
2004,39,F,57
2004,39,M,69
2004,40,F,55
2004,40,M,73
2004,41,F,44
2004,41,M,72
2004,42,F,28
2004,42,M,28
2004,43,F,21
2004,43,M,37
2004,44,F,10
2004,44,M,15
2004,45,F,4
2004,45,M,16
2004,46,F,13
2004,46,M,24
2004,47,F,7
2004,47,M,22
2004,48,F,20
2004,48,M,26
2004,49,F,19
2004,49,M,37
2004,50,F,12
2004,50,M,30
2004,51,F,13
2004,51,M,20
2004,52,F,4
2004,52,M,18
2004,53,F,2
2004,53,M,24
2004,54,F,14
2004,54,M,14
2004,55,F,1
2004,55,M,2
2004,56,F,5
2004,56,M,0
2004,57,F,34
2004,57,M,25
2004,58,F,2
2004,58,M,0
2004,59,F,12
2004,59,M,11
2004,60,F,23
2004,60,M,19
2004,61,F,17
2004,61,M,12
2004,62,F,10
2004,62,M,18
2004,63,F,18
2004,63,M,25
2004,64,F,3
2004,64,M,11
2004,65,F,8
2004,65,M,2
2004,66,F,5
2004,66,M,2
2004,67,F,7
2004,67,M,0
2004,68,F,5
2004,68,M,2
2004,69,F,7
2004,69,M,2
2004,70,F,2
2004,70,M,0
2004,71,F,4
2004,71,M,0
2004,72,F,0
2004,72,M,0
2004,73,F,0
2004,73,M,0
2004,74,F,1
2004,74,M,0
2004,75,F,0
2004,75,M,0
2004,76,F,0
2004,76,M,0
2004,77,F,0
2004,77,M,0
2004,78,F,0
2004,78,M,0
2004,79,F,0
2004,79,M,0
2004,80,F,0
2004,80,M,0
2004,81,F,0
2004,81,M,0
2004,82,F,0
2004,82,M,0
2004,83,F,0
2004,83,M,0
2004,84,F,0
2004,84,M,0
2004,85,F,0
2004,85,M,0
2004,86,F,0
2004,86,M,0
2004,87,F,0
2004,87,M,0
2004,88,F,0
2004,88,M,0
2004,89,F,0
2004,89,M,0
2004,90,F,0
2004,90,M,0
2004,91,F,0
2004,91,M,0
2004,92,F,0
2004,92,M,0
