year,age,sex,utility
2002,109,M,0.0
2002,110,F,0.0
2002,110,M,0.0
2003,0,F,4947.0
2003,0,M,5105.0
2003,1,F,4955.0237777782395
2003,1,M,5093.381944444847
2003,2,F,4920.0740000001515
2003,2,M,5162.29166666726
2003,3,F,5139.334511523158
2003,3,M,5294.049708307277
2003,4,F,5009.7908234115075
2003,4,M,5393.083763091457
2003,5,F,5205.793050019118
2003,5,M,5382.281202506472
2003,6,F,5250.599221895744
2003,6,M,5642.03756833071
2003,7,F,5529.076630518938
2003,7,M,5835.207430552886
2003,8,F,5655.721452583694
2003,8,M,5858.549791020305
2003,9,F,5627.099173934022
2003,9,M,5891.606271410166
2003,10,F,5692.105154012679
2003,10,M,5991.015477231155
2003,11,F,5822.300780041011
2003,11,M,6037.854555837785
2003,12,F,5909.258505198161
2003,12,M,6065.5454277924
2003,13,F,5891.723404845858
2003,13,M,6092.663733951463
2003,14,F,5542.546989862265
2003,14,M,5953.427026693507
2003,15,F,5480.720735626812
2003,15,M,5594.124075602849
2003,16,F,5407.279432787671
2003,16,M,5732.280745946254
2003,17,F,5550.781085728682
2003,17,M,5798.589992419108
2003,18,F,5529.198797700505
2003,18,M,5873.900995511209
2003,19,F,5508.820798180882
2003,19,M,5972.755502939526
2003,20,F,5668.198157039353
2003,20,M,5854.13257992073
2003,21,F,5610.294520658848
2003,21,M,5919.169596300237
2003,22,F,5728.345531996149
2003,22,M,5860.6970245253815
2003,23,F,5588.050183123787
2003,23,M,5901.675216986232
2003,24,F,5536.953098731515
2003,24,M,5684.3673241262
2003,25,F,5519.041816636044
2003,25,M,5523.66232151277
2003,26,F,5490.503046890153
2003,26,M,5619.462325286153
2003,27,F,5628.519135985459
2003,27,M,5518.228107080086
2003,28,F,5596.867072797742
2003,28,M,5598.2861277381735
2003,29,F,5562.742393828602
2003,29,M,5433.715103581135
2003,30,F,5545.468115485281
2003,30,M,5647.2563196500705
2003,31,F,5842.571155177868
2003,31,M,5605.669729347646
