year,age,sex,n_deaths
2005,91,F,100
2005,91,M,54
2005,92,F,96
2005,92,M,24
2005,93,F,81
2005,93,M,21
2005,94,F,58
2005,94,M,23
2005,95,F,53
2005,95,M,20
2005,96,F,45
2005,96,M,15
2005,97,F,35
2005,97,M,11
2005,98,F,15
2005,98,M,10
2005,99,F,11
2005,99,M,4
2005,100,F,30
2005,100,M,4
2005,101,F,19
2005,101,M,6
2005,102,F,19
2005,102,M,4
2005,103,F,15
2005,103,M,1
2005,104,F,4
2005,104,M,1
2005,105,F,0
2005,105,M,0
2005,106,F,0
2005,106,M,0
2005,107,F,0
2005,107,M,0
2005,108,F,0
2005,108,M,0
2005,109,F,0
2005,109,M,0
2005,110,F,0
2005,110,M,0
2006,0,F,25
2006,0,M,30
2006,1,F,2
2006,1,M,3
2006,2,F,1
2006,2,M,1
2006,3,F,0
2006,3,M,0
2006,4,F,0
2006,4,M,1
2006,5,F,0
2006,5,M,0
2006,6,F,0
2006,6,M,1
2006,7,F,0
2006,7,M,1
2006,8,F,0
2006,8,M,2
2006,9,F,1
2006,9,M,0
2006,10,F,0
2006,10,M,0
2006,11,F,2
2006,11,M,1
2006,12,F,1
2006,12,M,0
2006,13,F,0
2006,13,M,1
2006,14,F,0
2006,14,M,2
2006,15,F,0
2006,15,M,4
2006,16,F,3
2006,16,M,4
2006,17,F,2
2006,17,M,5
2006,18,F,1
2006,18,M,1
2006,19,F,4
2006,19,M,7
2006,20,F,3
2006,20,M,4
2006,21,F,5
2006,21,M,9
2006,22,F,2
2006,22,M,7
2006,23,F,1
2006,23,M,6
2006,24,F,7
2006,24,M,6
2006,25,F,1
2006,25,M,6
2006,26,F,1
2006,26,M,8
2006,27,F,4
2006,27,M,3
2006,28,F,3
2006,28,M,6
2006,29,F,2
2006,29,M,6
2006,30,F,2
2006,30,M,6
2006,31,F,3
2006,31,M,2
2006,32,F,2
2006,32,M,7
2006,33,F,3
2006,33,M,6
2006,34,F,4
2006,34,M,6
2006,35,F,4
2006,35,M,3
2006,36,F,4
2006,36,M,11
2006,37,F,5
2006,37,M,8
2006,38,F,6
2006,38,M,13
2006,39,F,5
2006,39,M,8
2006,40,F,10
2006,40,M,5
