year,age,sex,province,prob
2002,47,F,BC,0.9771710507145628
2002,47,M,BC,0.9597753572790984
2002,48,F,BC,0.9758102192538244
2002,48,M,BC,0.9593038513890444
2002,49,F,BC,0.9742257943890044
2002,49,M,BC,0.9590489538013632
2002,50,F,BC,0.9725003980906424
2002,50,M,BC,0.9590736822678028
2002,51,F,BC,0.9707362158039295
2002,51,M,BC,0.9594502557685304
2002,52,F,BC,0.9690571273909896
2002,52,M,BC,0.9602607521800248
2002,53,F,BC,0.9676115031059184
2002,53,M,BC,0.9615983235843324
2002,54,F,BC,0.9665756460464164
2002,54,M,BC,0.9635690272403432
2002,55,F,BC,0.966157745483644
2002,55,M,BC,0.9662942518916906
2002,56,F,BC,0.966602034649736
2002,56,M,BC,0.9699136015607364
2002,57,F,BC,0.9681926151530212
2002,57,M,BC,0.9745879279883406
2002,58,F,BC,0.9712561254429518
2002,58,M,BC,0.9805019670804828
2002,59,F,BC,0.9761621268357606
2002,59,M,BC,0.9878657337816996
2002,60,F,BC,0.9833198344435796
2002,60,M,BC,0.9969134871526144
2002,61,F,BC,0.9931697654767568
2002,61,M,BC,1.0
2002,62,F,BC,1.0
2002,62,M,BC,1.0
2002,63,F,BC,0.9630690656056832
2002,63,M,BC,0.93709120013499
2002,64,F,BC,0.9630690656056832
2002,64,M,BC,0.93709120013499
2002,65,F,BC,0.9630690656056832
2002,65,M,BC,0.93709120013499
2002,66,F,BC,0.9630690656056832
2002,66,M,BC,0.93709120013499
2002,67,F,BC,0.9630690656056832
2002,67,M,BC,0.93709120013499
2002,68,F,BC,0.9630690656056832
2002,68,M,BC,0.93709120013499
2002,69,F,BC,0.9630690656056832
2002,69,M,BC,0.93709120013499
2002,70,F,BC,0.9630690656056832
2002,70,M,BC,0.93709120013499
2002,71,F,BC,0.9630690656056832
2002,71,M,BC,0.93709120013499
2002,72,F,BC,0.9630690656056832
2002,72,M,BC,0.93709120013499
2002,73,F,BC,0.9630690656056832
2002,73,M,BC,0.93709120013499
2002,74,F,BC,0.9630690656056832
2002,74,M,BC,0.93709120013499
2002,75,F,BC,0.9630690656056832
2002,75,M,BC,0.93709120013499
2002,76,F,BC,0.9630690656056832
2002,76,M,BC,0.93709120013499
2002,77,F,BC,0.9630690656056832
2002,77,M,BC,0.93709120013499
2002,78,F,BC,0.9630690656056832
2002,78,M,BC,0.93709120013499
2002,79,F,BC,0.9630690656056832
2002,79,M,BC,0.93709120013499
2002,80,F,BC,0.9630690656056832
2002,80,M,BC,0.93709120013499
2002,81,F,BC,0.9630690656056832
2002,81,M,BC,0.93709120013499
2002,82,F,BC,0.9630690656056832
2002,82,M,BC,0.93709120013499
2002,83,F,BC,0.9630690656056832
2002,83,M,BC,0.93709120013499
2002,84,F,BC,0.9630690656056832
2002,84,M,BC,0.93709120013499
2002,85,F,BC,0.9630690656056832
2002,85,M,BC,0.93709120013499
2002,86,F,BC,0.9630690656056832
2002,86,M,BC,0.93709120013499
2002,87,F,BC,0.9630690656056832
2002,87,M,BC,0.93709120013499
2002,88,F,BC,0.9630690656056832
2002,88,M,BC,0.93709120013499
2002,89,F,BC,0.9630690656056832
2002,89,M,BC,0.93709120013499
2002,90,F,BC,0.9630690656056832
2002,90,M,BC,0.93709120013499
2002,91,F,BC,0.9630690656056832
2002,91,M,BC,0.93709120013499
2002,92,F,BC,0.9630690656056832
2002,92,M,BC,0.93709120013499
2002,93,F,BC,0.9630690656056832
2002,93,M,BC,0.93709120013499
2002,94,F,BC,0.9630690656056832
2002,94,M,BC,0.93709120013499
2002,95,F,BC,0.9630690656056832
2002,95,M,BC,0.93709120013499
2002,96,F,BC,0.9630690656056832
2002,96,M,BC,0.93709120013499
2002,97,F,BC,0.9630690656056832
2002,97,M,BC,0.93709120013499
2002,98,F,BC,0.9630690656056832
2002,98,M,BC,0.93709120013499
2002,99,F,BC,0.9630690656056832
2002,99,M,BC,0.93709120013499
2002,100,F,BC,0.9630690656056832
2002,100,M,BC,0.93709120013499
2002,101,F,BC,0.9630690656056832
2002,101,M,BC,0.93709120013499
2002,102,F,BC,0.9630690656056832
2002,102,M,BC,0.93709120013499
2002,103,F,BC,0.9630690656056832
2002,103,M,BC,0.93709120013499
2002,104,F,BC,0.9630690656056832
2002,104,M,BC,0.93709120013499
2002,105,F,BC,0.9630690656056832
2002,105,M,BC,0.93709120013499
2002,106,F,BC,0.9630690656056832
2002,106,M,BC,0.93709120013499
2002,107,F,BC,0.9630690656056832
2002,107,M,BC,0.93709120013499
2002,108,F,BC,0.9630690656056832
2002,108,M,BC,0.93709120013499
2002,109,F,BC,0.9630690656056832
2002,109,M,BC,0.93709120013499
2002,110,F,BC,0.9630690656056832
2002,110,M,BC,0.93709120013499
2003,4,F,BC,0.6636778279339981
2003,4,M,BC,0.7256462109928592
2003,5,F,BC,0.8415477814987542
2003,5,M,BC,0.8994677808521411
