province,projection_scenario,timepoint,N,prop_male
CA,M5,2068-11-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M5,2068-12-01T00:00:00,44342.46575342466,0.5121408711770158
CA,M6,2022-01-01T00:00:00,29786.301369863013,0.5121412803532008
CA,M6,2022-02-01T00:00:00,29818.41246012385,0.5121412803532008
CA,M6,2022-03-01T00:00:00,29847.416025520735,0.5121412803532008
CA,M6,2022-04-01T00:00:00,29879.527115781573,0.5121412803532008
CA,M6,2022-05-01T00:00:00,29910.60236442109,0.5121412803532008
CA,M6,2022-06-01T00:00:00,29942.71345468193,0.5121412803532008
CA,M6,2022-07-01T00:00:00,29973.78870332145,0.5121412803532008
CA,M6,2022-08-01T00:00:00,30005.899793582284,0.5121412803532008
CA,M6,2022-09-01T00:00:00,30038.010883843122,0.5121412803532008
CA,M6,2022-10-01T00:00:00,30069.086132482644,0.5121412803532008
CA,M6,2022-11-01T00:00:00,30101.19722274348,0.5121412803532008
CA,M6,2022-12-01T00:00:00,30132.272471383,0.5121412803532008
CA,M6,2023-01-01T00:00:00,30164.383561643837,0.5119891008174386
CA,M6,2023-02-01T00:00:00,30197.192719084258,0.5119891008174386
CA,M6,2023-03-01T00:00:00,30226.82679677238,0.5119891008174386
CA,M6,2023-04-01T00:00:00,30259.6359542128,0.5119891008174386
CA,M6,2023-05-01T00:00:00,30291.386751735787,0.5119891008174386
CA,M6,2023-06-01T00:00:00,30324.195909176207,0.5119891008174386
CA,M6,2023-07-01T00:00:00,30355.946706699193,0.5119891008174386
CA,M6,2023-08-01T00:00:00,30388.755864139614,0.5119891008174386
CA,M6,2023-09-01T00:00:00,30421.565021580034,0.5119891008174386
CA,M6,2023-10-01T00:00:00,30453.315819103023,0.5119891008174386
CA,M6,2023-11-01T00:00:00,30486.124976543444,0.5119891008174386
CA,M6,2023-12-01T00:00:00,30517.87577406643,0.5119891008174386
CA,M6,2024-01-01T00:00:00,30550.68493150685,0.5119720204465967
CA,M6,2024-02-01T00:00:00,30584.10060633281,0.5119720204465967
CA,M6,2024-03-01T00:00:00,30615.36043117,0.5119720204465967
CA,M6,2024-04-01T00:00:00,30648.77610599596,0.5119720204465967
CA,M6,2024-05-01T00:00:00,30681.113855827534,0.5119720204465967
CA,M6,2024-06-01T00:00:00,30714.529530653494,0.5119720204465967
CA,M6,2024-07-01T00:00:00,30746.86728048507,0.5119720204465967
CA,M6,2024-08-01T00:00:00,30780.282955311028,0.5119720204465967
CA,M6,2024-09-01T00:00:00,30813.698630136987,0.5119720204465967
CA,M6,2024-10-01T00:00:00,30846.036379968562,0.5119720204465967
CA,M6,2024-11-01T00:00:00,30879.45205479452,0.5119720204465967
CA,M6,2024-12-01T00:00:00,30911.789804626096,0.5119720204465967
CA,M6,2025-01-01T00:00:00,30945.205479452055,0.5120849933598938
CA,M6,2025-02-01T00:00:00,30979.41077125164,0.5120849933598938
CA,M6,2025-03-01T00:00:00,31010.305873522237,0.5120849933598938
CA,M6,2025-04-01T00:00:00,31044.511165321826,0.5120849933598938
CA,M6,2025-05-01T00:00:00,31077.613060611748,0.5120849933598938
CA,M6,2025-06-01T00:00:00,31111.818352411334,0.5120849933598938
CA,M6,2025-07-01T00:00:00,31144.92024770126,0.5120849933598938
CA,M6,2025-08-01T00:00:00,31179.125539500845,0.5120849933598938
CA,M6,2025-09-01T00:00:00,31213.33083130043,0.5120849933598938
CA,M6,2025-10-01T00:00:00,31246.432726590356,0.5120849933598938
CA,M6,2025-11-01T00:00:00,31280.638018389942,0.5120849933598938
CA,M6,2025-12-01T00:00:00,31313.739913679867,0.5120849933598938
CA,M6,2026-01-01T00:00:00,31347.945205479453,0.5120608285264814
CA,M6,2026-02-01T00:00:00,31382.15049727904,0.5120608285264814
CA,M6,2026-03-01T00:00:00,31413.045599549634,0.5120608285264814
CA,M6,2026-04-01T00:00:00,31447.250891349224,0.5120608285264814
CA,M6,2026-05-01T00:00:00,31480.352786639145,0.5120608285264814
CA,M6,2026-06-01T00:00:00,31514.55807843873,0.5120608285264814
CA,M6,2026-07-01T00:00:00,31547.659973728656,0.5120608285264814
CA,M6,2026-08-01T00:00:00,31581.865265528242,0.5120608285264814
