timepoint,province,sex,age,prob_death,se
1996-01-01 00:00:00,BC,M,30,0.00148,0.00043
1996-01-01 00:00:00,BC,F,30,0.0005,0.00025
1996-01-01 00:00:00,BC,M,31,0.00165,0.00044
1996-01-01 00:00:00,BC,F,31,0.00055,0.00026
1996-01-01 00:00:00,BC,M,32,0.00179,0.00045
1996-01-01 00:00:00,BC,F,32,0.00059,0.00026
1996-01-01 00:00:00,BC,M,33,0.00189,0.00045
1996-01-01 00:00:00,BC,F,33,0.00062,0.00026
1996-01-01 00:00:00,BC,M,34,0.00194,0.00046
1996-01-01 00:00:00,BC,F,34,0.00064,0.00027
1996-01-01 00:00:00,BC,M,35,0.00193,0.00046
1996-01-01 00:00:00,BC,F,35,0.00065,0.00027
1996-01-01 00:00:00,BC,M,36,0.0019,0.00046
1996-01-01 00:00:00,BC,F,36,0.00066,0.00027
1996-01-01 00:00:00,BC,M,37,0.0019,0.00046
1996-01-01 00:00:00,BC,F,37,0.00068,0.00028
1996-01-01 00:00:00,BC,M,38,0.00193,0.00047
1996-01-01 00:00:00,BC,F,38,0.00072,0.00029
1996-01-01 00:00:00,BC,M,39,0.00199,0.00048
1996-01-01 00:00:00,BC,F,39,0.00078,0.0003
1996-01-01 00:00:00,BC,M,40,0.00208,0.00049
1996-01-01 00:00:00,BC,F,40,0.00087,0.00032
1996-01-01 00:00:00,BC,M,41,0.00219,0.00051
1996-01-01 00:00:00,BC,F,41,0.00097,0.00034
1996-01-01 00:00:00,BC,M,42,0.00232,0.00053
1996-01-01 00:00:00,BC,F,42,0.00109,0.00036
1996-01-01 00:00:00,BC,M,43,0.00246,0.00055
1996-01-01 00:00:00,BC,F,43,0.00121,0.00039
1996-01-01 00:00:00,BC,M,44,0.00263,0.00058
1996-01-01 00:00:00,BC,F,44,0.00135,0.00041
1996-01-01 00:00:00,BC,M,45,0.00281,0.0006
1996-01-01 00:00:00,BC,F,45,0.00149,0.00044
1996-01-01 00:00:00,BC,M,46,0.00302,0.00062
1996-01-01 00:00:00,BC,F,46,0.00165,0.00046
1996-01-01 00:00:00,BC,M,47,0.00326,0.00066
1996-01-01 00:00:00,BC,F,47,0.00181,0.00049
1996-01-01 00:00:00,BC,M,48,0.00353,0.00068
