timepoint,age,sex,province,prob
2005-01-01 00:00:00,77,M,CA,0.9482441903583682
2005-01-01 00:00:00,78,F,CA,0.9720229506713248
2005-01-01 00:00:00,78,M,CA,0.9482441903583682
2005-01-01 00:00:00,79,F,CA,0.9720229506713248
2005-01-01 00:00:00,79,M,CA,0.9482441903583682
2005-01-01 00:00:00,80,F,CA,0.9720229506713248
2005-01-01 00:00:00,80,M,CA,0.9482441903583682
2005-01-01 00:00:00,81,F,CA,0.9720229506713248
2005-01-01 00:00:00,81,M,CA,0.9482441903583682
2005-01-01 00:00:00,82,F,CA,0.9720229506713248
2005-01-01 00:00:00,82,M,CA,0.9482441903583682
2005-01-01 00:00:00,83,F,CA,0.9720229506713248
2005-01-01 00:00:00,83,M,CA,0.9482441903583682
2005-01-01 00:00:00,84,F,CA,0.9720229506713248
2005-01-01 00:00:00,84,M,CA,0.9482441903583682
2005-01-01 00:00:00,85,F,CA,0.9720229506713248
2005-01-01 00:00:00,85,M,CA,0.9482441903583682
2005-01-01 00:00:00,86,F,CA,0.9720229506713248
2005-01-01 00:00:00,86,M,CA,0.9482441903583682
2005-01-01 00:00:00,87,F,CA,0.9720229506713248
2005-01-01 00:00:00,87,M,CA,0.9482441903583682
2005-01-01 00:00:00,88,F,CA,0.9720229506713248
2005-01-01 00:00:00,88,M,CA,0.9482441903583682
2005-01-01 00:00:00,89,F,CA,0.9720229506713248
2005-01-01 00:00:00,89,M,CA,0.9482441903583682
2005-01-01 00:00:00,90,F,CA,0.9720229506713248
2005-01-01 00:00:00,90,M,CA,0.9482441903583682
2005-01-01 00:00:00,91,F,CA,0.9720229506713248
2005-01-01 00:00:00,91,M,CA,0.9482441903583682
2005-01-01 00:00:00,92,F,CA,0.9720229506713248
2005-01-01 00:00:00,92,M,CA,0.9482441903583682
2005-01-01 00:00:00,93,F,CA,0.9720229506713248
2005-01-01 00:00:00,93,M,CA,0.9482441903583682
2005-01-01 00:00:00,94,F,CA,0.9720229506713248
2005-01-01 00:00:00,94,M,CA,0.9482441903583682
2005-01-01 00:00:00,95,F,CA,0.9720229506713248
2005-01-01 00:00:00,95,M,CA,0.9482441903583682
2005-01-01 00:00:00,96,F,CA,0.9720229506713248
2005-01-01 00:00:00,96,M,CA,0.9482441903583682
2005-01-01 00:00:00,97,F,CA,0.9720229506713248
2005-01-01 00:00:00,97,M,CA,0.9482441903583682
2005-01-01 00:00:00,98,F,CA,0.9720229506713248
2005-01-01 00:00:00,98,M,CA,0.9482441903583682
2005-01-01 00:00:00,99,F,CA,0.9720229506713248
2005-01-01 00:00:00,99,M,CA,0.9482441903583682
2005-01-01 00:00:00,100,F,CA,0.9720229506713248
2005-01-01 00:00:00,100,M,CA,0.9482441903583682
2005-01-01 00:00:00,101,F,CA,0.9720229506713248
2005-01-01 00:00:00,101,M,CA,0.9482441903583682
2005-01-01 00:00:00,102,F,CA,0.9720229506713248
2005-01-01 00:00:00,102,M,CA,0.9482441903583682
2005-01-01 00:00:00,103,F,CA,0.9720229506713248
2005-01-01 00:00:00,103,M,CA,0.9482441903583682
2005-01-01 00:00:00,104,F,CA,0.9720229506713248
2005-01-01 00:00:00,104,M,CA,0.9482441903583682
2005-01-01 00:00:00,105,F,CA,0.9720229506713248
2005-01-01 00:00:00,105,M,CA,0.9482441903583682
2005-01-01 00:00:00,106,F,CA,0.9720229506713248
2005-01-01 00:00:00,106,M,CA,0.9482441903583682
2005-01-01 00:00:00,107,F,CA,0.9720229506713248
2005-01-01 00:00:00,107,M,CA,0.9482441903583682
2005-01-01 00:00:00,108,F,CA,0.9720229506713248
2005-01-01 00:00:00,108,M,CA,0.9482441903583682
2005-01-01 00:00:00,109,F,CA,0.9720229506713248
2005-01-01 00:00:00,109,M,CA,0.9482441903583682
2005-01-01 00:00:00,110,F,CA,0.9720229506713248
2005-01-01 00:00:00,110,M,CA,0.9482441903583682
2006-01-01 00:00:00,4,F,CA,0.6839084682590467
2006-01-01 00:00:00,4,M,CA,0.7292764690939035
2006-01-01 00:00:00,5,F,CA,0.8702436855128258
2006-01-01 00:00:00,5,M,CA,0.9145187601396793
2006-01-01 00:00:00,6,F,CA,0.9543731038382604
2006-01-01 00:00:00,6,M,CA,0.9849977996949004
2006-01-01 00:00:00,7,F,CA,0.9914191241183428
2006-01-01 00:00:00,7,M,CA,1.0
2006-01-01 00:00:00,8,F,CA,1.0
